user_id_1,user_id_2,country,region,city,cap,latitude,longitude
180-67-0313,247-23-4718,IT,Toscana,Firenze,50136,43.7668053,11.2991498
242-37-2161,875-54-5776,IT,Toscana,Firenze,50124,43.7549435,11.2216134
211-47-7992,146-37-8357,IT,Toscana,Firenze,50136,43.7668053,11.2991498
830-81-1640,447-80-4405,IT,Toscana,Livorno,57124,43.5377939,10.383479
413-23-5273,576-41-9962,IT,Toscana,Firenze,50124,43.7549435,11.2216134
597-12-5839,818-17-7760,IT,Toscana,Firenze,50124,43.7549435,11.2216134
186-69-8563,509-53-0594,IT,Toscana,Firenze,50136,43.7668053,11.2991498
672-09-3536,869-43-9834,IT,Toscana,Livorno,57124,43.5377939,10.383479
721-83-0741,496-98-7062,IT,Toscana,Livorno,57124,43.5377939,10.383479
181-55-3634,731-19-8142,IT,Toscana,Firenze,50124,43.7549435,11.2216134
