user_id_1,user_id_2,country,region,city,cap,latitude,longitude
726-52-0002,692-43-6561,IT,Lombardia,Milano,20125,45.4972764,9.203123
165-18-2502,121-91-3402,IT,Lombardia,Milano,20125,45.4972764,9.203123
691-80-5281,531-23-3337,IT,Lombardia,Milano,20147,45.4560254,9.1257661
650-13-1137,827-33-3946,IT,Lombardia,Milano,20125,45.4972764,9.203123
253-81-8937,104-05-7089,IT,Lombardia,Milano,20158,45.5000316,9.1690428
891-35-3785,800-54-7961,IT,Lombardia,Milano,20158,45.5000316,9.1690428
863-28-9369,387-62-1041,IT,Lombardia,Milano,20125,45.4972764,9.203123
568-32-2677,486-97-1231,IT,Lombardia,Milano,20136,45.4476447,9.1855974
581-08-8669,852-57-5162,IT,Lombardia,Milano,20158,45.5000316,9.1690428
836-64-5058,729-39-4726,IT,Lombardia,Milano,20147,45.4560254,9.1257661
